Sample, Sphd18:2,Sphd18:1,Sphd18:0,SM C32:2,SM C32:1,SM C34:2,MHCer d18:1/C14:0,DHCer d18:1/C16:0,SM C34:1,SM C36:2,MHCer d18:1/C16:0,MHCer d18:0/C16:0,Cer d16:1/C16:0,Cer d18:1/C14:0,Cer d18:2/C16:0,Cer d18:1/C16:1,SM C36:1,SM C38:2,DHCer d18:1/C18:0,MHCer d18:1/C18:0,Cer d18:1/C16:0,Cer d18:0/C16:0,SM C38:1,SM C40:2,SM C42:3,MHCer d18:1/C22:1,Cer d18:1/C18:0,MHCer d18:2/C24:1,Cer d18:0/C18:0,DHCer d18:1/C22:0,DHCer d18:1/C24:1,Cer d18:2/C20:0,SM C42:2,SM C40:1,MHCer d18:1/C22:0,MHCer d18:0/C22:0,MHCer d18:1/C24:1,Cer d18:1/C20:0,DHCer d18:1/C24:0,Cer d16:1/C22:0,Cer d18:2/C24:1,Cer d18:2/C22:0,SM C41:1,MHCer d18:1/C23:0,SM C43:2,Cer d18:1/C23:1,MHCer d18:0/C24:0,Cer d18:2/C23:0,SM C42:1,MHCer d18:1/C24:0,Cer d18:0/C24:1,Cer d18:1/C24:1,Cer d18:1/C22:0,Cer d18:0/C22:0,Cer d18:2/C24:0,MHCer d18:1/C25:0,SM C43:1,Cer d18:1/C23:0,Cer d18:1/C25:1,MHCer d18:1/C26:0,Cer d18:1/C26:1,SM C44:1,Cer d18:1/C24:0,Cer d18:0/C24:0,Cer d18:2/C26:0,Cer d18:1/C25:0,Cer d18:1/C26:0,
blk1,0.0340744644552,0.404810055254,0.0358798508267,0.0,0.381591290565,0.362403166672,0.0,0.0,10.2521765791,0.469886628965,0.0,1.1808733225,0.0,0.0,0.292960864866,0.421046093122,5.23399633805,0.0854112193528,1.95984179455,1.45994467773,5.52032593456,0.12040622717,0.901506464293,0.184854712416,0.193117443671,0.0,15.326323561,0.66388258589,0.213727407881,0.0,0.0,0.0140933571027,3.6984701492,3.85931855135,3.39308930559,0.0,25.8750928832,0.0,0.0,1.77419959258,0.0,0.17011492333,1.15045521667,2.76756682958,0.053059427887,0.0,0.0352859668795,0.00653036857229,1.00276861455,3.62603787559,0.0332297029921,0.663873428519,0.861939597316,0.0,0.103941658347,0.23720011069,0.176993622841,0.371347998829,0.0,0.175929770701,0.0,0.0458329846953,0.653132033202,0.0339849235146,0.0,0.0623054493063,0.214079025407,
blk2,0.0207596332995,0.774515127296,0.00702094466252,0.0357377215917,0.441717177948,0.361305931373,0.0,0.484247110259,9.61033233899,0.0925011153467,0.0,5.44338265919,0.0,0.0,0.118223296275,1.36731031866,7.09453998645,0.107468819546,2.62668863487,0.936474305811,3.59023244709,0.0,0.798252891142,0.127512105944,0.352836569756,0.0,12.0934946449,0.0,0.120298384456,0.0,0.0,0.0,2.83888763787,3.58546752136,3.91253260473,0.243302913708,30.2921169433,0.0,0.0,1.08002385119,0.0,0.20648115752,1.01265717472,2.06819050399,0.0078790323564,0.0,0.106651359888,0.0,0.610085809855,2.46870113541,0.0335447418193,0.428344564081,0.369359187787,0.0,0.0,0.0175099247577,0.0586617436544,0.299231091211,0.000302853429324,0.0,0.0,0.0,0.602897452623,0.0023134304703,0.0,0.0,0.298489340537,
blk3,0.0350162646692,0.798835563088,0.0267413038975,0.0,0.655373511959,0.317611908949,0.0,0.18655279526,11.1848038416,0.268336138972,0.127416394955,5.26349028519,0.0,0.0,0.0,1.48251295978,9.38020576499,0.0,2.80584800027,0.91231907232,5.60443574263,0.277322208608,1.01989783029,0.0695063993895,0.179450400285,0.0,14.046415174,0.24161564639,0.220878112898,0.0,0.0,0.0,3.67949522874,4.91498566733,4.08575950971,0.0,19.8129762432,0.899706156137,0.0,1.65013566384,0.0,0.0,0.702996795615,1.69878814413,0.0624690956737,0.0,0.0723386560491,0.00162470105049,0.79188145652,2.04629802775,0.0,0.573235402539,0.97848570969,0.237830851722,0.0,0.584574544829,0.0741145584651,0.0,0.000562903379323,0.0,0.000803627687746,0.0,0.443445937003,0.018932409677,0.0,0.0666343876419,0.16197116155,
SL std mix1,0.122476766418,0.202454566658,0.0670588914077,0.0,0.500687574047,0.323188534048,0.0,0.0,11.4327748668,0.808184243764,0.0,0.11328841893,0.0580867917844,0.0772722798904,0.0832689689046,0.0,10.5510593902,0.212367730837,1.60714387594,1.25724442381,1.35470445642,0.0738361452261,2.16269645195,0.80453681124,0.044835612002,0.15779737326,6.17520057864,0.0,0.0414913206232,0.0,0.0,0.0,5.3907502991,6.86730572779,3.13112509228,0.14140308319,17.0348051265,0.263482835482,0.194047858213,0.973202004049,0.0583299155872,0.048226656036,3.04524742244,1.46868234324,0.043810706728,0.000577953437575,0.0409420084183,0.0,8.75502652357,6.96624304819,0.00423836070883,0.885149505223,1.67398177988,0.0329303083763,0.11015626187,0.347301174858,0.221280434543,0.276931895576,0.0016128414019,0.0,0.0,0.102029217441,1.33502418882,0.0305608114268,0.0,0.128761067443,0.194598948725,
SL std mix2,0.00559767538191,0.889132879859,0.264577655628,0.056326235704,0.524202236053,0.463824975519,0.0,0.0,12.3207766265,0.458414125542,0.0,0.390371588362,0.0,0.0,0.078038590777,0.0679576113583,12.8988007398,0.0146135621781,1.61180547147,1.34864625268,1.54808516403,0.0,1.22791314831,0.573174210384,0.266490929147,0.335204785492,7.70259665875,0.394851932837,0.0478819885336,0.0,0.0,0.0,6.65246939905,7.7192508391,2.66023851157,0.0,14.59045504,0.151861345219,0.18761260546,1.21548986707,0.082100687069,0.0765369872476,2.52542164805,1.9044950828,0.144289445466,0.012397648295,0.101818360729,0.0,6.12204767631,4.86147303883,0.0185664853498,0.649282122644,1.40392932783,0.0642379177002,0.075192411727,0.59650190578,0.353254409961,0.31864538714,0.0,0.0,0.0,0.115334372387,1.18326555112,0.0104232900209,0.0,0.135909702178,0.294963387149,
blk6,0.00597241133399,0.0783389882559,0.00144907515379,0.0,0.273401854852,0.205306854764,0.0,0.0,6.42891087508,0.0859813815566,0.151935157753,3.45398167818,0.0,0.0,0.439980784586,0.333330579448,4.69723612391,0.073892788238,2.13406258923,0.750090926486,8.65114184764,0.177740786289,0.502196325353,0.0971799069952,0.30022384698,0.855795183017,14.604841431,0.0,0.123711333078,0.0,0.0,0.0,1.7100423524,2.35538315593,4.84090575044,0.0,28.7808148586,0.562999186971,0.0,2.02621145082,0.0,0.283430318449,0.6468922916,1.96085945543,0.0463876387013,0.0,0.0638101681814,0.0,0.562995411393,2.86863321215,0.0692783465234,0.336695083059,2.22913183719,0.0,0.0,0.175477962499,0.068178573494,0.0875661921789,0.0268232311272,0.0,0.0263730111585,0.0194552814505,1.06136685079,0.0482474199002,0.0251771868011,0.262968301568,0.525258064597,
M212-samblk1,0.0211353676919,0.246639365183,0.185360150215,8.04723858359,0.207902875819,0.21202083412,0.0,0.0,7.94686516676,0.688083304746,0.0951042157653,0.0,0.166754179409,0.0663936199568,0.0715293781278,0.0,18.1225643948,0.0383649753507,0.941929600232,1.10801550894,1.83152111401,0.0911873340589,0.902807728007,0.809820178128,0.362809835026,0.352560382907,6.76718626234,0.268466028131,0.0391425526687,0.0,0.0,0.0564346207726,4.7002734016,3.59963505818,1.18066328905,0.0,10.2208200741,0.354959440422,0.111702092389,1.41934058783,0.0,0.108517182857,4.21989823458,1.96949680025,0.136709588795,0.0,0.0333614956637,0.0225856851954,8.03476239425,5.69246269599,0.0116309299359,0.924861774308,1.25691486334,0.0421071740694,0.0569322452287,0.505760274262,0.0807735698905,0.337530235314,0.0,0.0,0.0122942197792,0.0947714027322,1.5757633212,0.00849952572236,0.0,0.151658547424,0.334769967346,
M213-samblk2,0.11062849728,0.395881455872,0.052522673808,4.67973811794,0.294894994942,0.180017160149,0.0,0.142492379002,9.20746561505,0.831213735852,0.118920142343,0.0,0.134892075775,0.0,0.00991523042867,0.0,16.0320529649,0.0929147309485,1.60840624671,0.775926866085,1.29218446044,0.0538662793997,3.02270664384,1.38981175945,0.17930261638,0.255947413663,4.75777544522,0.496087845737,0.105228804614,0.0,0.0,0.0,6.75960752166,2.80380350311,0.866687030318,0.0,11.8479327044,0.34149782082,0.0807465740759,1.65430203467,0.0661098711463,0.0968042347694,3.56205455026,1.19401192645,0.216820383418,0.0,0.0623107792962,0.0554137548819,10.5364839836,5.35663201243,0.0114685312868,0.85009314494,1.48587139015,0.0,0.102790603864,0.381735511057,0.160393895301,0.270189948367,0.0,0.0,0.0142587168319,0.0597268818291,1.15647888938,0.0142853635327,0.0,0.100966823347,0.189396058745,
blk7,0.00852798874087,0.223845797375,0.00605763762381,0.0,0.514706531444,0.399181854155,0.0,0.0,9.23592863849,0.165804573005,0.0,2.58511177048,0.0,0.245025894522,0.0,1.30124954513,4.51294954575,0.0955375414498,1.81028100663,1.09596626039,6.99738181858,0.0,1.01959043627,0.0688203353752,0.195190243874,0.414123398379,16.9723519124,0.0,0.285425459536,0.0,0.0,0.0,2.92499737034,3.11727766302,4.15365485171,0.0,20.4028947209,0.479424662136,0.0,3.36534410943,0.0,0.235164084896,1.27768355432,2.35555001533,0.0936297494805,0.160074257322,0.0700699927769,0.0,0.747504205821,3.41097556256,0.10931187812,1.14891465379,2.34457502645,0.0675227910489,0.237946826769,0.379202313852,0.0762952032624,0.0384819037806,0.0,0.0,0.0,0.0873843432221,1.75445304419,0.133603406591,0.0,0.273270899738,0.460031356185,
M201-213QCThymus1,0.0114170253713,0.4580975555,0.0215215221622,0.00522422501619,0.166610550324,0.296775938898,0.0101251153211,0.100086426524,48.0761398407,0.223450156612,3.45269032141,0.0681841124787,0.00228570519044,0.0238880611441,0.0721631267082,0.00374291077096,2.67384223665,0.0541019237349,0.0091786287967,0.208371980134,2.29747626365,0.0431391517051,1.62828863687,0.617079844325,3.65102622697,0.0848980625073,0.557880300631,0.0205039428269,0.0102829002004,0.0462383404901,0.124723012379,0.0283521061763,13.73984012,2.77299840079,1.63736683417,0.0283263144112,4.59168633535,0.205500127358,0.0408743694025,0.00613149966599,0.143409747802,0.0553173542115,1.34578400168,0.333043084462,0.0744544441423,0.0275237735261,0.0279489544051,0.0126938353916,1.79899489091,1.75207288709,0.0685642002274,3.50695405611,0.706303842947,0.0143532515469,0.0656009182936,0.0347492268776,0.0852579408828,0.0966576230956,0.00682526056127,0.00598766103064,0.0127773901734,0.0449302041217,0.842968320455,0.0118500013774,0.000587018499269,0.00759521520348,0.00444278700898,
